total_dirt_cleaned,total_steps,total_agent_moves,total_agents_at_charger,total_failed_moves,steps_per_dirt,failed_moves_fraction,total_reward,dirt_remaining,start,agent,room,sigma
3,1000,957,0,43,333.3333333333333,0.043,-1234,2,"(2, 2)","DQNAgent(0, 1000, 0.99, 0.001)",warehouse_stat_5.grd,0.3
2,1000,785,0,215,500.0,0.215,-2833,3,"(2, 2)","DQNAgent(0, 500, 0.99, 0.001)",warehouse_stat_5.grd,0.3
5,1000,976,0,24,200.0,0.024,-961,0,"(2, 2)","DQNAgent(0, 1000, 0.99, 0.0001)",warehouse_stat_5.grd,0.3
4,1000,961,0,39,250.0,0.039,-1147,1,"(2, 2)","DQNAgent(0, 500, 0.99, 0.0001)",warehouse_stat_5.grd,0.3
5,77,75,1,1,15.2,0.013157894736842105,270,0,"(2, 2)","DQNAgent(0, 1000, 0.7, 0.001)",warehouse_stat_5.grd,0.3
5,78,77,1,0,15.4,0.0,278,0,"(2, 2)","DQNAgent(0, 500, 0.7, 0.001)",warehouse_stat_5.grd,0.3
5,109,108,1,0,21.6,0.0,247,0,"(2, 2)","DQNAgent(0, 1000, 0.7, 0.0001)",warehouse_stat_5.grd,0.3
5,184,176,1,7,36.6,0.03825136612021858,109,0,"(2, 2)","DQNAgent(0, 500, 0.7, 0.0001)",warehouse_stat_5.grd,0.3
5,730,631,1,98,145.8,0.13443072702331962,-1256,0,"(2, 2)","DQNAgent(0, 1000, 0.99, 0.001)",warehouse_dyn_5.grd,0.3
2,1000,355,0,645,500.0,0.645,-6703,3,"(2, 2)","DQNAgent(0, 500, 0.99, 0.001)",warehouse_dyn_5.grd,0.3
5,1000,958,0,42,200.0,0.042,-1123,0,"(2, 2)","DQNAgent(0, 1000, 0.99, 0.0001)",warehouse_dyn_5.grd,0.3
5,245,240,1,4,48.8,0.01639344262295082,75,0,"(2, 2)","DQNAgent(0, 500, 0.99, 0.0001)",warehouse_dyn_5.grd,0.3
5,91,87,1,3,18.0,0.03333333333333333,238,0,"(2, 2)","DQNAgent(0, 1000, 0.7, 0.001)",warehouse_dyn_5.grd,0.3
4,1000,892,0,108,250.0,0.108,-1768,1,"(2, 2)","DQNAgent(0, 500, 0.7, 0.001)",warehouse_dyn_5.grd,0.3
2,1000,961,0,39,500.0,0.039,-1249,3,"(2, 2)","DQNAgent(0, 1000, 0.7, 0.0001)",warehouse_dyn_5.grd,0.3
5,438,412,1,25,87.4,0.057208237986270026,-307,0,"(2, 2)","DQNAgent(0, 500, 0.7, 0.0001)",warehouse_dyn_5.grd,0.3
