total_dirt_cleaned,total_steps,total_agent_moves,total_agents_at_charger,total_failed_moves,steps_per_dirt,failed_moves_fraction,total_reward,dirt_remaining,start,agent,room,sigma
4,1000,982,0,18,250.0,0.018,-12,0,"(1, 1)","MCAgent(0, 0.9)",multi_room.grd,0.0
3,1000,905,0,95,333.3333333333333,0.095,-172,1,"(1, 1)","MCAgent(0, 0.9)",multi_room.grd,0.25
4,1000,982,0,18,250.0,0.018,-12,0,"(8, 1)","MCAgent(0, 0.9)",multi_room.grd,0.0
3,1000,905,0,95,333.3333333333333,0.095,-172,1,"(8, 1)","MCAgent(0, 0.9)",multi_room.grd,0.25
4,1000,982,0,18,250.0,0.018,-12,0,"(1, 8)","MCAgent(0, 0.9)",multi_room.grd,0.0
3,1000,905,0,95,333.3333333333333,0.095,-172,1,"(1, 8)","MCAgent(0, 0.9)",multi_room.grd,0.25
4,1000,982,0,18,250.0,0.018,-12,0,"(8, 8)","MCAgent(0, 0.9)",multi_room.grd,0.0
3,1000,905,0,95,333.3333333333333,0.095,-172,1,"(8, 8)","MCAgent(0, 0.9)",multi_room.grd,0.25
4,1000,982,0,18,250.0,0.018,-12,0,"(1, 1)","MCAgent(0, 0.6)",multi_room.grd,0.0
3,1000,905,0,95,333.3333333333333,0.095,-172,1,"(1, 1)","MCAgent(0, 0.6)",multi_room.grd,0.25
4,1000,982,0,18,250.0,0.018,-12,0,"(8, 1)","MCAgent(0, 0.6)",multi_room.grd,0.0
3,1000,905,0,95,333.3333333333333,0.095,-172,1,"(8, 1)","MCAgent(0, 0.6)",multi_room.grd,0.25
4,1000,982,0,18,250.0,0.018,-12,0,"(1, 8)","MCAgent(0, 0.6)",multi_room.grd,0.0
3,1000,905,0,95,333.3333333333333,0.095,-172,1,"(1, 8)","MCAgent(0, 0.6)",multi_room.grd,0.25
4,1000,982,0,18,250.0,0.018,-12,0,"(8, 8)","MCAgent(0, 0.6)",multi_room.grd,0.0
3,1000,905,0,95,333.3333333333333,0.095,-172,1,"(8, 8)","MCAgent(0, 0.6)",multi_room.grd,0.25
