total_dirt_cleaned,total_steps,total_agent_moves,total_agents_at_charger,total_failed_moves,steps_per_dirt,failed_moves_fraction,total_reward,dirt_remaining,start,agent,room,sigma,gamma
4,1000,982,0,18,250.0,0.018,-976,0,"(1, 1)","MCAgent(0, 0.9)",multi_room.grd,0.0,0.9
3,1000,905,0,95,333.3333333333333,0.095,-982,1,"(1, 1)","MCAgent(0, 0.9)",multi_room.grd,0.25,0.9
4,1000,982,0,18,250.0,0.018,-976,0,"(8, 1)","MCAgent(0, 0.9)",multi_room.grd,0.0,0.9
3,1000,907,0,93,333.3333333333333,0.093,-982,1,"(8, 1)","MCAgent(0, 0.9)",multi_room.grd,0.25,0.9
0,1000,0,0,1000,-1.0,1.0,-1000,4,"(1, 8)","MCAgent(0, 0.9)",multi_room.grd,0.0,0.9
2,1000,879,0,121,500.0,0.121,-988,2,"(1, 8)","MCAgent(0, 0.9)",multi_room.grd,0.25,0.9
0,1000,1000,0,0,-1.0,0.0,-1000,4,"(8, 8)","MCAgent(0, 0.9)",multi_room.grd,0.0,0.9
4,701,656,1,44,175.0,0.06285714285714286,-666,0,"(8, 8)","MCAgent(0, 0.9)",multi_room.grd,0.25,0.9
4,80,79,1,0,19.75,0.0,-45,0,"(1, 1)","MCAgent(0, 0.6)",multi_room.grd,0.0,0.6
4,87,83,1,3,21.5,0.03488372093023256,-52,0,"(1, 1)","MCAgent(0, 0.6)",multi_room.grd,0.25,0.6
4,67,66,1,0,16.5,0.0,-32,0,"(8, 1)","MCAgent(0, 0.6)",multi_room.grd,0.0,0.6
4,85,82,1,2,21.0,0.023809523809523808,-50,0,"(8, 1)","MCAgent(0, 0.6)",multi_room.grd,0.25,0.6
0,1000,2,0,998,-1.0,0.998,-1000,4,"(1, 8)","MCAgent(0, 0.6)",multi_room.grd,0.0,0.6
2,1000,915,0,85,500.0,0.085,-988,2,"(1, 8)","MCAgent(0, 0.6)",multi_room.grd,0.25,0.6
4,90,89,1,0,22.25,0.0,-55,0,"(8, 8)","MCAgent(0, 0.6)",multi_room.grd,0.0,0.6
4,110,104,1,5,27.25,0.045871559633027525,-75,0,"(8, 8)","MCAgent(0, 0.6)",multi_room.grd,0.25,0.6
