total_dirt_cleaned,total_steps,total_agent_moves,total_agents_at_charger,total_failed_moves,steps_per_dirt,failed_moves_fraction,total_reward,dirt_remaining,start,agent,room,sigma
3,25,24,1,0,8.0,0.0,4,0,"(1, 1)","ValueAgent(0, 0.9)",simple_grid.grd,0.0
3,25,24,1,0,8.0,0.0,4,0,"(1, 1)","ValueAgent(0, 0.9)",simple_grid.grd,0.2
3,24,23,1,0,7.666666666666667,0.0,5,0,"(8, 1)","ValueAgent(0, 0.9)",simple_grid.grd,0.0
3,24,23,1,0,7.666666666666667,0.0,5,0,"(8, 1)","ValueAgent(0, 0.9)",simple_grid.grd,0.2
3,24,23,1,0,7.666666666666667,0.0,5,0,"(1, 8)","ValueAgent(0, 0.9)",simple_grid.grd,0.0
3,24,23,1,0,7.666666666666667,0.0,5,0,"(1, 8)","ValueAgent(0, 0.9)",simple_grid.grd,0.2
3,27,26,1,0,8.666666666666666,0.0,2,0,"(8, 8)","ValueAgent(0, 0.9)",simple_grid.grd,0.0
3,27,26,1,0,8.666666666666666,0.0,2,0,"(8, 8)","ValueAgent(0, 0.9)",simple_grid.grd,0.2
3,25,24,1,0,8.0,0.0,4,0,"(1, 1)","ValueAgent(0, 0.6)",simple_grid.grd,0.0
3,25,24,1,0,8.0,0.0,4,0,"(1, 1)","ValueAgent(0, 0.6)",simple_grid.grd,0.2
3,24,23,1,0,7.666666666666667,0.0,5,0,"(8, 1)","ValueAgent(0, 0.6)",simple_grid.grd,0.0
3,24,23,1,0,7.666666666666667,0.0,5,0,"(8, 1)","ValueAgent(0, 0.6)",simple_grid.grd,0.2
3,24,23,1,0,7.666666666666667,0.0,5,0,"(1, 8)","ValueAgent(0, 0.6)",simple_grid.grd,0.0
3,24,23,1,0,7.666666666666667,0.0,5,0,"(1, 8)","ValueAgent(0, 0.6)",simple_grid.grd,0.2
3,27,26,1,0,8.666666666666666,0.0,2,0,"(8, 8)","ValueAgent(0, 0.6)",simple_grid.grd,0.0
3,27,26,1,0,8.666666666666666,0.0,2,0,"(8, 8)","ValueAgent(0, 0.6)",simple_grid.grd,0.2
4,42,41,1,0,10.25,0.0,-7,0,"(1, 1)","ValueAgent(0, 0.9)",multi_room.grd,0.0
4,46,45,1,0,11.25,0.0,-11,0,"(1, 1)","ValueAgent(0, 0.9)",multi_room.grd,0.2
4,43,42,1,0,10.5,0.0,-8,0,"(8, 1)","ValueAgent(0, 0.9)",multi_room.grd,0.0
4,48,47,1,0,11.75,0.0,-13,0,"(8, 1)","ValueAgent(0, 0.9)",multi_room.grd,0.2
4,61,60,1,0,15.0,0.0,-26,0,"(1, 8)","ValueAgent(0, 0.9)",multi_room.grd,0.0
4,72,69,1,2,17.75,0.028169014084507043,-37,0,"(1, 8)","ValueAgent(0, 0.9)",multi_room.grd,0.2
4,60,59,1,0,14.75,0.0,-25,0,"(8, 8)","ValueAgent(0, 0.9)",multi_room.grd,0.0
4,67,64,1,2,16.5,0.030303030303030304,-32,0,"(8, 8)","ValueAgent(0, 0.9)",multi_room.grd,0.2
4,48,47,1,0,11.75,0.0,-13,0,"(1, 1)","ValueAgent(0, 0.6)",multi_room.grd,0.0
4,52,50,1,1,12.75,0.0196078431372549,-17,0,"(1, 1)","ValueAgent(0, 0.6)",multi_room.grd,0.2
4,65,64,1,0,16.0,0.0,-30,0,"(8, 1)","ValueAgent(0, 0.6)",multi_room.grd,0.0
4,79,77,1,1,19.5,0.01282051282051282,-44,0,"(8, 1)","ValueAgent(0, 0.6)",multi_room.grd,0.2
4,61,60,1,0,15.0,0.0,-26,0,"(1, 8)","ValueAgent(0, 0.6)",multi_room.grd,0.0
4,72,69,1,2,17.75,0.028169014084507043,-37,0,"(1, 8)","ValueAgent(0, 0.6)",multi_room.grd,0.2
4,60,59,1,0,14.75,0.0,-25,0,"(8, 8)","ValueAgent(0, 0.6)",multi_room.grd,0.0
4,71,68,1,2,17.5,0.02857142857142857,-36,0,"(8, 8)","ValueAgent(0, 0.6)",multi_room.grd,0.2
